#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_a;A;A;A;;A;;;;;;;;;x
b_a_adj;Aian;;er;;;;;;;;;;;x
b_a_10;A;A;A;;A;;;;;;;;;x
b_a_10_adj;Aian;;er;;;;;;;;;;;x
b_a_11;A;A;A;;A;;;;;;;;;x
b_a_11_adj;Aian;;er;;;;;;;;;;;x
b_a_12;A;A;A;;A;;;;;;;;;x
b_a_12_adj;Aian;;er;;;;;;;;;;;x
b_a_13;A;A;A;;A;;;;;;;;;x
b_a_13_adj;Aian;;er;;;;;;;;;;;x
b_a_14;A;A;A;;A;;;;;;;;;x
b_a_14_adj;Aian;;er;;;;;;;;;;;x
b_a_15;A;A;A;;A;;;;;;;;;x
b_a_15_adj;Aian;;er;;;;;;;;;;;x
b_a_16;A;A;A;;A;;;;;;;;;x
b_a_16_adj;Aian;;er;;;;;;;;;;;x
b_a_17;A;A;A;;A;;;;;;;;;x
b_a_17_adj;Aian;;er;;;;;;;;;;;x
b_a_18;A;A;A;;A;;;;;;;;;x
b_a_18_adj;Aian;;er;;;;;;;;;;;x
b_a_19;A;A;A;;A;;;;;;;;;x
b_a_19_adj;Aian;;er;;;;;;;;;;;x
b_a_2;A;A;A;;A;;;;;;;;;x
b_a_2_adj;Aian;;er;;;;;;;;;;;x
b_a_20;A;A;A;;A;;;;;;;;;x
b_a_20_adj;Aian;;er;;;;;;;;;;;x
b_a_21;A;A;A;;A;;;;;;;;;x
b_a_21_adj;Aian;;er;;;;;;;;;;;x
b_a_22;A;A;A;;A;;;;;;;;;x
b_a_22_adj;Aian;;er;;;;;;;;;;;x
b_a_23;A;A;A;;A;;;;;;;;;x
b_a_23_adj;Aian;;er;;;;;;;;;;;x
b_a_24;A;A;A;;A;;;;;;;;;x
b_a_24_adj;Aian;;er;;;;;;;;;;;x
b_a_25;A;A;A;;A;;;;;;;;;x
b_a_25_adj;Aian;;er;;;;;;;;;;;x
b_a_26;A;A;A;;A;;;;;;;;;x
b_a_26_adj;Aian;;er;;;;;;;;;;;x
b_a_27;A;A;A;;A;;;;;;;;;x
b_a_27_adj;Aian;;er;;;;;;;;;;;x
b_a_28;A;A;A;;A;;;;;;;;;x
b_a_28_adj;Aian;;er;;;;;;;;;;;x
b_a_29;A;A;A;;A;;;;;;;;;x
b_a_29_adj;Aian;;er;;;;;;;;;;;x
b_a_3;A;A;A;;A;;;;;;;;;x
b_a_3_adj;Aian;;er;;;;;;;;;;;x
b_a_30;A;A;A;;A;;;;;;;;;x
b_a_30_adj;Aian;;er;;;;;;;;;;;x
b_a_31;A;A;A;;A;;;;;;;;;x
b_a_31_adj;Aian;;er;;;;;;;;;;;x
b_a_32;A;A;A;;A;;;;;;;;;x
b_a_32_adj;Aian;;er;;;;;;;;;;;x
b_a_33;A;A;A;;A;;;;;;;;;x
b_a_33_adj;Aian;;er;;;;;;;;;;;x
b_a_34;A;A;A;;A;;;;;;;;;x
b_a_34_adj;Aian;;er;;;;;;;;;;;x
b_a_35;A;A;A;;A;;;;;;;;;x
b_a_35_adj;Aian;;er;;;;;;;;;;;x
b_a_36;A;A;A;;A;;;;;;;;;x
b_a_36_adj;Aian;;er;;;;;;;;;;;x
b_a_37;A;A;A;;A;;;;;;;;;x
b_a_37_adj;Aian;;er;;;;;;;;;;;x
b_a_38;A;A;A;;A;;;;;;;;;x
b_a_38_adj;Aian;;er;;;;;;;;;;;x
b_a_39;A;A;A;;A;;;;;;;;;x
b_a_39_adj;Aian;;er;;;;;;;;;;;x
b_a_4;A;A;A;;A;;;;;;;;;x
b_a_4_adj;Aian;;er;;;;;;;;;;;x
b_a_40;A;A;A;;A;;;;;;;;;x
b_a_40_adj;Aian;;er;;;;;;;;;;;x
b_a_41;A;A;A;;A;;;;;;;;;x
b_a_41_adj;Aian;;er;;;;;;;;;;;x
b_a_42;A;A;A;;A;;;;;;;;;x
b_a_42_adj;Aian;;er;;;;;;;;;;;x
b_a_43;A;A;A;;A;;;;;;;;;x
b_a_43_adj;Aian;;er;;;;;;;;;;;x
b_a_44;A;A;A;;A;;;;;;;;;x
b_a_44_adj;Aian;;er;;;;;;;;;;;x
b_a_45;A;A;A;;A;;;;;;;;;x
b_a_45_adj;Aian;;er;;;;;;;;;;;x
b_a_46;A;A;A;;A;;;;;;;;;x
b_a_46_adj;Aian;;er;;;;;;;;;;;x
b_a_47;A;A;A;;A;;;;;;;;;x
b_a_47_adj;Aian;;er;;;;;;;;;;;x
b_a_48;A;A;A;;A;;;;;;;;;x
b_a_48_adj;Aian;;er;;;;;;;;;;;x
b_a_49;A;A;A;;A;;;;;;;;;x
b_a_49_adj;Aian;;er;;;;;;;;;;;x
b_a_5;A;A;A;;A;;;;;;;;;x
b_a_5_adj;Aian;;er;;;;;;;;;;;x
b_a_50;A;A;A;;A;;;;;;;;;x
b_a_50_adj;Aian;;er;;;;;;;;;;;x
b_a_51;A;A;A;;A;;;;;;;;;x
b_a_51_adj;Aian;;er;;;;;;;;;;;x
b_a_52;A;A;A;;A;;;;;;;;;x
b_a_52_adj;Aian;;er;;;;;;;;;;;x
b_a_53;A;A;A;;A;;;;;;;;;x
b_a_53_adj;Aian;;er;;;;;;;;;;;x
b_a_54;A;A;A;;A;;;;;;;;;x
b_a_54_adj;Aian;;er;;;;;;;;;;;x
b_a_55;A;A;A;;A;;;;;;;;;x
b_a_55_adj;Aian;;er;;;;;;;;;;;x
b_a_56;A;A;A;;A;;;;;;;;;x
b_a_56_adj;Aian;;er;;;;;;;;;;;x
b_a_6;A;A;A;;A;;;;;;;;;x
b_a_6_adj;Aian;;er;;;;;;;;;;;x
b_a_7;A;A;A;;A;;;;;;;;;x
b_a_7_adj;Aian;;er;;;;;;;;;;;x
b_a_8;A;A;A;;A;;;;;;;;;x
b_a_8_adj;Aian;;er;;;;;;;;;;;x
b_a_9;A;A;A;;A;;;;;;;;;x
b_a_9_adj;Aian;;er;;;;;;;;;;;x
b_a_egua;A Egua;A Egua;A Egua;;A Egua;;;;;;;;;x
b_a_egua_adj;A Eguan;;A Eger;;;;;;;;;;;x
b_a_egua_2;A Egua;A Egua;A Egua;;A Egua;;;;;;;;;x
b_a_egua_2_adj;A Eguan;;A Eger;;;;;;;;;;;x
b_a_egua_3;A Egua;A Egua;A Egua;;A Egua;;;;;;;;;x
b_a_egua_3_adj;A Eguan;;A Eger;;;;;;;;;;;x
b_a_egua_4;A Egua;A Egua;A Egua;;A Egua;;;;;;;;;x
b_a_egua_4_adj;A Eguan;;A Eger;;;;;;;;;;;x
b_a_egua_5;A Egua;A Egua;A Egua;;A Egua;;;;;;;;;x
b_a_egua_5_adj;A Eguan;;A Eger;;;;;;;;;;;x
b_a_egua_6;A Egua;A Egua;A Egua;;A Egua;;;;;;;;;x
b_a_egua_6_adj;A Eguan;;A Eger;;;;;;;;;;;x
b_a_montana;A Montaña;A Montaña;A Montaña;;A Montaña;;;;;;;;;x
b_a_montana_adj;A Montañan;;A Montañer;;;;;;;;;;;x
b_a_montana_2;A Montaña;A Montaña;A Montaña;;A Montaña;;;;;;;;;x
b_a_montana_2_adj;A Montañan;;A Montañer;;;;;;;;;;;x
b_a_montana_3;A Montaña;A Montaña;A Montaña;;A Montaña;;;;;;;;;x
b_a_montana_3_adj;A Montañan;;A Montañer;;;;;;;;;;;x
b_a_montana_4;A Montaña;A Montaña;A Montaña;;A Montaña;;;;;;;;;x
b_a_montana_4_adj;A Montañan;;A Montañer;;;;;;;;;;;x
b_a_montana_5;A Montaña;A Montaña;A Montaña;;A Montaña;;;;;;;;;x
b_a_montana_5_adj;A Montañan;;A Montañer;;;;;;;;;;;x
b_a_montana_6;A Montaña;A Montaña;A Montaña;;A Montaña;;;;;;;;;x
b_a_montana_6_adj;A Montañan;;A Montañer;;;;;;;;;;;x
b_abaer;Ábær;Ábær;Ábær;;Ábær;;;;;;;;;x
b_abaer_adj;Ábærian;;ábærer;;;;;;;;;;;x
b_abaer_2;Ábær;Ábær;Ábær;;Ábær;;;;;;;;;x
b_abaer_2_adj;Ábærian;;ábærer;;;;;;;;;;;x
b_abaer_3;Ábær;Ábær;Ábær;;Ábær;;;;;;;;;x
b_abaer_3_adj;Ábærian;;ábærer;;;;;;;;;;;x
b_abaer_4;Ábær;Ábær;Ábær;;Ábær;;;;;;;;;x
b_abaer_4_adj;Ábærian;;ábærer;;;;;;;;;;;x
b_abaer_5;Ábær;Ábær;Ábær;;Ábær;;;;;;;;;x
b_abaer_5_adj;Ábærian;;ábærer;;;;;;;;;;;x
