#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_a;A;A;A;;A;;;;;;;;;x
c_a_adj;Aian;;er;;;;;;;;;;;x
c_a_2;A;A;A;;A;;;;;;;;;x
c_a_2_adj;Aian;;er;;;;;;;;;;;x
c_a_3;A;A;A;;A;;;;;;;;;x
c_a_3_adj;Aian;;er;;;;;;;;;;;x
c_a_4;A;A;A;;A;;;;;;;;;x
c_a_4_adj;Aian;;er;;;;;;;;;;;x
c_a_5;A;A;A;;A;;;;;;;;;x
c_a_5_adj;Aian;;er;;;;;;;;;;;x
c_a_6;A;A;A;;A;;;;;;;;;x
c_a_6_adj;Aian;;er;;;;;;;;;;;x
c_a_7;A;A;A;;A;;;;;;;;;x
c_a_7_adj;Aian;;er;;;;;;;;;;;x
c_a_8;A;A;A;;A;;;;;;;;;x
c_a_8_adj;Aian;;er;;;;;;;;;;;x
c_a_egua;A Egua;A Egua;A Egua;;A Egua;;;;;;;;;x
c_a_egua_adj;A Eguan;;A Eger;;;;;;;;;;;x
c_a_montana;A Montaña;A Montaña;A Montaña;;A Montaña;;;;;;;;;x
c_a_montana_adj;A Montañan;;A Montañer;;;;;;;;;;;x
c_abaer;Ábær;Ábær;Ábær;;Ábær;;;;;;;;;x
c_abaer_adj;Ábærian;;ábærer;;;;;;;;;;;x
c_abella;Abella;Abella;Abella;;Abella;;;;;;;;;x
c_abella_adj;Abellan;;abeller;;;;;;;;;;;x
c_aberargie;Aberargie;Aberargie;Aberargie;;Aberargie;;;;;;;;;x
c_aberargie_adj;Aberargiean;;aberarger;;;;;;;;;;;x
c_abercywarch;Abercywarch;Abercywarch;Abercywarch;;Abercywarch;;;;;;;;;x
c_abercywarch_adj;Abercywarchian;;abercywarcher;;;;;;;;;;;x
c_abergweysn;Abergweysn;Abergweysn;Abergweysn;;Abergweysn;;;;;;;;;x
c_abergweysn_adj;Abergweysnian;;abergweysner;;;;;;;;;;;x
