#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_a;A;A;A;;A;;;;;;;;;x
d_a_adj;Aian;;er;;;;;;;;;;;x
d_abella;Abella;Abella;Abella;;Abella;;;;;;;;;x
d_abella_adj;Abellan;;abeller;;;;;;;;;;;x
d_aberargie;Aberargie;Aberargie;Aberargie;;Aberargie;;;;;;;;;x
d_aberargie_adj;Aberargiean;;aberarger;;;;;;;;;;;x
d_abercywarch;Abercywarch;Abercywarch;Abercywarch;;Abercywarch;;;;;;;;;x
d_abercywarch_adj;Abercywarchian;;abercywarcher;;;;;;;;;;;x
d_abergweysn;Abergweysn;Abergweysn;Abergweysn;;Abergweysn;;;;;;;;;x
d_abergweysn_adj;Abergweysnian;;abergweysner;;;;;;;;;;;x
d_abrera;Abrera;Abrera;Abrera;;Abrera;;;;;;;;;x
d_abrera_adj;Abreran;;abrerer;;;;;;;;;;;x
d_achelos;Achelos;Achelos;Achelos;;Achelos;;;;;;;;;x
d_achelos_adj;Achelosian;;acheloser;;;;;;;;;;;x
d_adono;Adono;Adono;Adono;;Adono;;;;;;;;;x
d_adono_adj;Adonian;;adoner;;;;;;;;;;;x
d_aghavea;Aghavea;Aghavea;Aghavea;;Aghavea;;;;;;;;;x
d_aghavea_adj;Aghavean;;aghaver;;;;;;;;;;;x
d_agiassos;Agiassos;Agiassos;Agiassos;;Agiassos;;;;;;;;;x
d_agiassos_adj;Agiassosian;;agiassoser;;;;;;;;;;;x
d_agurain;Agurain;Agurain;Agurain;;Agurain;;;;;;;;;x
d_agurain_adj;Agurainian;;agurainer;;;;;;;;;;;x
d_al_farrah;Al-Farrah;Al-Farrah;Al-Farrah;;Al-Farrah;;;;;;;;;x
d_al_farrah_adj;Al-Farrahian;;al-farraher;;;;;;;;;;;x
d_alaior;Alaior;Alaior;Alaior;;Alaior;;;;;;;;;x
d_alaior_adj;Alaiorian;;alaiorer;;;;;;;;;;;x
d_alamillo;Alamillo;Alamillo;Alamillo;;Alamillo;;;;;;;;;x
d_alamillo_adj;Alamillian;;alamiller;;;;;;;;;;;x
d_alevia;Alevia;Alevia;Alevia;;Alevia;;;;;;;;;x
d_alevia_adj;Alevian;;alever;;;;;;;;;;;x
d_alssahil_khasibatan;Alssahil Khasibatan;Alssahil Khasibatan;Alssahil Khasibatan;;Alssahil Khasibatan;;;;;;;;;x
d_alssahil_khasibatan_adj;Alssahil Khasibatanian;;Alssahil Khasibataner;;;;;;;;;;;x
d_ambrin;Ambrin;Ambrin;Ambrin;;Ambrin;;;;;;;;;x
d_ambrin_adj;Ambrinian;;ambriner;;;;;;;;;;;x
d_amianti;Amianti;Amianti;Amianti;;Amianti;;;;;;;;;x
d_amianti_adj;Amiantian;;amianter;;;;;;;;;;;x
d_amnu;Amnu;Amnu;Amnu;;Amnu;;;;;;;;;x
d_amnu_adj;Amnian;;amner;;;;;;;;;;;x
d_annaglin;Annaglin;Annaglin;Annaglin;;Annaglin;;;;;;;;;x
d_annaglin_adj;Annaglinian;;annagliner;;;;;;;;;;;x
d_arbuna;Arbuna;Arbuna;Arbuna;;Arbuna;;;;;;;;;x
d_arbuna_adj;Arbunan;;arbuner;;;;;;;;;;;x
d_arduaine;Arduaine;Arduaine;Arduaine;;Arduaine;;;;;;;;;x
d_arduaine_adj;Arduainean;;arduainer;;;;;;;;;;;x
d_aren;Aren;Aren;Aren;;Aren;;;;;;;;;x
d_aren_adj;Arenian;;arener;;;;;;;;;;;x
d_arenas;Arenas;Arenas;Arenas;;Arenas;;;;;;;;;x
d_arenas_adj;Arenasian;;arenaser;;;;;;;;;;;x
d_arichonan;Arichonan;Arichonan;Arichonan;;Arichonan;;;;;;;;;x
d_arichonan_adj;Arichonanian;;arichonaner;;;;;;;;;;;x
d_arsita;Arsita;Arsita;Arsita;;Arsita;;;;;;;;;x
d_arsita_adj;Arsitan;;arsiter;;;;;;;;;;;x
d_arthog;Arthog;Arthog;Arthog;;Arthog;;;;;;;;;x
d_arthog_adj;Arthogian;;arthoger;;;;;;;;;;;x
d_artrik;Artrik;Artrik;Artrik;;Artrik;;;;;;;;;x
d_artrik_adj;Artrikian;;artriker;;;;;;;;;;;x
d_as_sahna;As Sahna;As Sahna;As Sahna;;As Sahna;;;;;;;;;x
d_as_sahna_adj;As Sahnan;;As Sahner;;;;;;;;;;;x
d_aschau;Aschau;Aschau;Aschau;;Aschau;;;;;;;;;x
d_aschau_adj;Aschian;;ascher;;;;;;;;;;;x
d_asele;Asele;Asele;Asele;;Asele;;;;;;;;;x
d_asele_adj;Aselean;;aseler;;;;;;;;;;;x
d_ausoleil;Ausoleil;Ausoleil;Ausoleil;;Ausoleil;;;;;;;;;x
d_ausoleil_adj;Ausoleilian;;ausoleiler;;;;;;;;;;;x
d_austurfjoerdhur;Austurfjörður;Austurfjörður;Austurfjörður;;Austurfjörður;;;;;;;;;x
d_austurfjoerdhur_adj;Austurfjörðurian;;austurfjörðurer;;;;;;;;;;;x
d_avoglie;Avoglie;Avoglie;Avoglie;;Avoglie;;;;;;;;;x
d_avoglie_adj;Avogliean;;avogler;;;;;;;;;;;x
d_b;B;B;B;;B;;;;;;;;;x
d_b_adj;Bian;;ber;;;;;;;;;;;x
d_bandar;Bandar;Bandar;Bandar;;Bandar;;;;;;;;;x
d_bandar_adj;Bandarian;;bandarer;;;;;;;;;;;x
d_bascara;Bascàra;Bascàra;Bascàra;;Bascàra;;;;;;;;;x
d_bascara_adj;Bascàran;;bascàrer;;;;;;;;;;;x
d_bergom;Bergom;Bergom;Bergom;;Bergom;;;;;;;;;x
d_bergom_adj;Bergomian;;bergomer;;;;;;;;;;;x
d_bjasta;Bjasta;Bjasta;Bjasta;;Bjasta;;;;;;;;;x
d_bjasta_adj;Bjastan;;bjaster;;;;;;;;;;;x
d_bochia;Bochia;Bochia;Bochia;;Bochia;;;;;;;;;x
d_bochia_adj;Bochian;;bocher;;;;;;;;;;;x
d_boglia;Boglia;Boglia;Boglia;;Boglia;;;;;;;;;x
d_boglia_adj;Boglian;;bogler;;;;;;;;;;;x
d_bolamy;Bolamy;Bolamy;Bolamy;;Bolamy;;;;;;;;;x
d_bolamy_adj;Bolamian;;bolamer;;;;;;;;;;;x
d_bordils;Bordils;Bordils;Bordils;;Bordils;;;;;;;;;x
d_bordils_adj;Bordilsian;;bordilser;;;;;;;;;;;x
d_bourgfier;Bourgfier;Bourgfier;Bourgfier;;Bourgfier;;;;;;;;;x
d_bourgfier_adj;Bourgfierian;;bourgfierer;;;;;;;;;;;x
d_braithwell;Braithwell;Braithwell;Braithwell;;Braithwell;;;;;;;;;x
d_braithwell_adj;Braithwellian;;braithweller;;;;;;;;;;;x
d_brearton;Brearton;Brearton;Brearton;;Brearton;;;;;;;;;x
d_brearton_adj;Breartonian;;breartoner;;;;;;;;;;;x
d_bringen;Bringen;Bringen;Bringen;;Bringen;;;;;;;;;x
d_bringen_adj;Bringenian;;bringener;;;;;;;;;;;x
d_brisellos;Brisellos;Brisellos;Brisellos;;Brisellos;;;;;;;;;x
d_brisellos_adj;Brisellosian;;briselloser;;;;;;;;;;;x
d_cagac;Cagac;Cagac;Cagac;;Cagac;;;;;;;;;x
d_cagac_adj;Cagacian;;cagacer;;;;;;;;;;;x
