#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_a;A;A;A;;A;;;;;;;;;x
e_a_adj;Aian;;er;;;;;;;;;;;x
e_alaya;Alaya;Alaya;Alaya;;Alaya;;;;;;;;;x
e_alaya_adj;Alayan;;alaer;;;;;;;;;;;x
e_aluqiyya;Aluqiyya;Aluqiyya;Aluqiyya;;Aluqiyya;;;;;;;;;x
e_aluqiyya_adj;Aluqiyyan;;aluqer;;;;;;;;;;;x
e_amfissa;Amfissa;Amfissa;Amfissa;;Amfissa;;;;;;;;;x
e_amfissa_adj;Amfissan;;amfisser;;;;;;;;;;;x
e_b;B;B;B;;B;;;;;;;;;x
e_b_adj;Bian;;ber;;;;;;;;;;;x
e_bandar;Bandar;Bandar;Bandar;;Bandar;;;;;;;;;x
e_bandar_adj;Bandarian;;bandarer;;;;;;;;;;;x
e_capraccia;Capraccia;Capraccia;Capraccia;;Capraccia;;;;;;;;;x
e_capraccia_adj;Capraccian;;capraccer;;;;;;;;;;;x
e_carnoch;Carnoch;Carnoch;Carnoch;;Carnoch;;;;;;;;;x
e_carnoch_adj;Carnochian;;carnocher;;;;;;;;;;;x
e_costa_do_sol;Costa do Sol;Costa do Sol;Costa do Sol;;Costa do Sol;;;;;;;;;x
e_costa_do_sol_adj;Costa do Solian;;Costa do Soler;;;;;;;;;;;x
e_fornella;Fornella;Fornella;Fornella;;Fornella;;;;;;;;;x
e_fornella_adj;Fornellan;;forneller;;;;;;;;;;;x
e_gahanapur;Gahanapur;Gahanapur;Gahanapur;;Gahanapur;;;;;;;;;x
e_gahanapur_adj;Gahanapurian;;gahanapurer;;;;;;;;;;;x
e_hieroz;Hieroz;Hieroz;Hieroz;;Hieroz;;;;;;;;;x
e_hieroz_adj;Hierozian;;hierozer;;;;;;;;;;;x
e_lopera;Lopera;Lopera;Lopera;;Lopera;;;;;;;;;x
e_lopera_adj;Loperan;;loperer;;;;;;;;;;;x
e_merouana;Merouana;Merouana;Merouana;;Merouana;;;;;;;;;x
e_merouana_adj;Merouanan;;merouaner;;;;;;;;;;;x
e_mitteland;Mitteland;Mitteland;Mitteland;;Mitteland;;;;;;;;;x
e_mitteland_adj;Mittelandian;;mittelander;;;;;;;;;;;x
e_navolok;Navolok;Navolok;Navolok;;Navolok;;;;;;;;;x
e_navolok_adj;Navolokian;;navoloker;;;;;;;;;;;x
e_nawwara;Nawwara;Nawwara;Nawwara;;Nawwara;;;;;;;;;x
e_nawwara_adj;Nawwaran;;nawwarer;;;;;;;;;;;x
e_nordland;Nordland;Nordland;Nordland;;Nordland;;;;;;;;;x
e_nordland_adj;Nordlandian;;nordlander;;;;;;;;;;;x
e_quillazu;Quillazù;Quillazù;Quillazù;;Quillazù;;;;;;;;;x
e_quillazu_adj;Quillazùian;;quillazùer;;;;;;;;;;;x
e_rajaur;Rajaur;Rajaur;Rajaur;;Rajaur;;;;;;;;;x
e_rajaur_adj;Rajaurian;;rajaurer;;;;;;;;;;;x
e_rayne;Rayne;Rayne;Rayne;;Rayne;;;;;;;;;x
e_rayne_adj;Raynean;;rayner;;;;;;;;;;;x
e_ruomi;Ruomi;Ruomi;Ruomi;;Ruomi;;;;;;;;;x
e_ruomi_adj;Ruomian;;ruomer;;;;;;;;;;;x
e_semna;Semna;Semna;Semna;;Semna;;;;;;;;;x
e_semna_adj;Semnan;;semner;;;;;;;;;;;x
e_siliania;Siliania;Siliania;Siliania;;Siliania;;;;;;;;;x
e_siliania_adj;Silianian;;silianer;;;;;;;;;;;x
e_varodia;Varodia;Varodia;Varodia;;Varodia;;;;;;;;;x
e_varodia_adj;Varodian;;varoder;;;;;;;;;;;x
e_xonaca;Xonaca;Xonaca;Xonaca;;Xonaca;;;;;;;;;x
e_xonaca_adj;Xonacan;;xonacer;;;;;;;;;;;x
