#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_a;A;A;A;;A;;;;;;;;;x
k_a_adj;Aian;;er;;;;;;;;;;;x
k_abernay;Abernay;Abernay;Abernay;;Abernay;;;;;;;;;x
k_abernay_adj;Abernaian;;abernaer;;;;;;;;;;;x
k_aghavea;Aghavea;Aghavea;Aghavea;;Aghavea;;;;;;;;;x
k_aghavea_adj;Aghavean;;aghaver;;;;;;;;;;;x
k_al_farrah;Al-Farrah;Al-Farrah;Al-Farrah;;Al-Farrah;;;;;;;;;x
k_al_farrah_adj;Al-Farrahian;;al-farraher;;;;;;;;;;;x
k_alaior;Alaior;Alaior;Alaior;;Alaior;;;;;;;;;x
k_alaior_adj;Alaiorian;;alaiorer;;;;;;;;;;;x
k_alaya;Alaya;Alaya;Alaya;;Alaya;;;;;;;;;x
k_alaya_adj;Alayan;;alaer;;;;;;;;;;;x
k_amfissa;Amfissa;Amfissa;Amfissa;;Amfissa;;;;;;;;;x
k_amfissa_adj;Amfissan;;amfisser;;;;;;;;;;;x
k_arenas;Arenas;Arenas;Arenas;;Arenas;;;;;;;;;x
k_arenas_adj;Arenasian;;arenaser;;;;;;;;;;;x
k_arlens;Arlens;Arlens;Arlens;;Arlens;;;;;;;;;x
k_arlens_adj;Arlensian;;arlenser;;;;;;;;;;;x
k_arsizia;Arsizia;Arsizia;Arsizia;;Arsizia;;;;;;;;;x
k_arsizia_adj;Arsizian;;arsizer;;;;;;;;;;;x
k_as_sahna;As Sahna;As Sahna;As Sahna;;As Sahna;;;;;;;;;x
k_as_sahna_adj;As Sahnan;;As Sahner;;;;;;;;;;;x
k_atessa;Atessa;Atessa;Atessa;;Atessa;;;;;;;;;x
k_atessa_adj;Atessan;;atesser;;;;;;;;;;;x
k_b;B;B;B;;B;;;;;;;;;x
k_b_adj;Bian;;ber;;;;;;;;;;;x
k_bandar;Bandar;Bandar;Bandar;;Bandar;;;;;;;;;x
k_bandar_adj;Bandarian;;bandarer;;;;;;;;;;;x
k_belieu;Belieu;Belieu;Belieu;;Belieu;;;;;;;;;x
