#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
rayne;Rayne;Rayne;Rayne;;Rayne;;;;;;;;;x
eastern_rayne;Rayne de l'Est;Rayne de l'Est;Rayne de l'Est;;Rayne de l'Est;;;;;;;;;x
western_rayne;Rayne de l'Ouest;Rayne de l'Ouest;Rayne de l'Ouest;;Rayne de l'Ouest;;;;;;;;;
northern_rayne;Rayne du Nord;Rayne du Nord;Rayne du Nord;;Rayne du Nord;;;;;;;;;
nordval_rayne;Rayne du Nordval;Rayne du Nordval;Rayne du Nordval;;Rayne du Nordval;;;;;;;;;
passa_rayne;Passa;Passa;Passa;;Passa;;;;;;;;;
southern_rayne;Rayne du Sud;Rayne du Sud;Rayne du Sud;;Rayne du Sud;;;;;;;;;
old_rayne;Reine;Reine;Reine;;Reine;;;;;;;;;

capracciana;Capracciana;Capracciana;Capracciana;;Capracciana;;;;;;;;;
silana;Silana;Silana;Silana;;Silana;;;;;;;;;
arsiziana;Arsiziana;Arsiziana;Arsiziana;;Arsiziana;;;;;;;;;
galiazzana;Galiazzana;Galiazzana;Galiazzana;;Galiazzana;;;;;;;;;
corvigliana;Corvigliana;Corvigliana;Corvigliana;;Corvigliana;;;;;;;;;
frassina;Frassina;Frassina;Frassina;;Frassina;;;;;;;;;
atessana;Atessana;Atessana;Atessana;;Atessana;;;;;;;;;
marrùna;Marrùna;Marrùna;Marrùna;;Marrùna;;;;;;;;;

varodaesca;Varodaesca;Varodaesca;Varodaesca;;Varodaesca;;;;;;;;;
vodeasca;Vodeasca;Vodeasca;Vodeasca;;Vodeasca;;;;;;;;;
medana;Medana;Medana;Medana;;Medana;;;;;;;;;
mejana;Mejana;Mejana;Mejana;;Mejana;;;;;;;;;




eascisc;Eascisc;Eascisc;Eascisc;;Eascisc;;;;;;;;;
